Country/Territory,GDP(US$million),Rank
World[19],"87,265,226",
United States,"21,439,453",1
European Union[23][n 1],"18,705,132",—
China[n 2],"14,140,163",2
Japan,"5,154,475",3
Germany,"3,863,344",4
India,"2,935,570",5
United Kingdom,"2,743,586",6
France,"2,707,074",7
Italy,"1,988,636",8
Brazil,"1,847,020",9
Canada,"1,730,914",10
Russia[n 3],"1,637,892",11
"Korea, South","1,629,532",12
Spain,"1,397,870",13
Australia,"1,376,255",14
Mexico,"1,274,175",15
Indonesia,"1,111,713",16
Netherlands,"902,355",17
Saudi Arabia,"779,289",18
Turkey,"743,708",19
Switzerland,"715,360",20
Taiwan,"586,104",—
Poland,"565,854",21
Thailand,"529,177",22
Sweden,"528,929",23
Belgium,"517,609",24
Iran,"458,500",25
Austria,"447,718",26
Nigeria,"446,543",27
Argentina,"445,469",28
Norway,"417,627",29
United Arab Emirates,"405,771",30
Israel,"387,717",31
Ireland,"384,940",32
Hong Kong,"372,989",—
Malaysia,"365,303",33
Singapore,"362,818",34
South Africa,"358,839",35
Philippines,"356,814",36
Denmark,"347,176",37
Colombia,"327,895",38
Bangladesh,"317,465",39
Egypt,"302,256",40
Chile,"294,237",41
Pakistan,"284,214",42
Finland,"269,654",43
Vietnam,"261,637",44
Czech Republic,"246,953",45
Romania,"243,698",46
Portugal,"236,408",47
Peru,"228,989",48
Iraq,"224,462",49
Greece,"214,012",50
New Zealand,"204,671",51
Qatar,"191,849",52
Algeria,"172,781",53
Hungary,"170,407",54
Kazakhstan,"170,326",55
Ukraine,"150,401",56
Kuwait,"137,591",57
Morocco,"119,040",58
Ecuador,"107,914",59
Slovakia,"106,552",60
Puerto Rico,"99,913",—
Kenya,"98,607",61
Angola,"91,527",62
Ethiopia,"91,166",63
Dominican Republic,"89,475",64
Sri Lanka,"86,566",65
Guatemala,"81,318",66
Oman,"76,609",67
Venezuela,"70,140",68
Luxembourg,"69,453",69
Panama,"68,536",70
Ghana,"67,077",71
Bulgaria,"66,250",72
Myanmar,"65,994",73
Tanzania,"62,224",74
Belarus,"62,572",75
Costa Rica,"61,021",76
Croatia,"60,702",77
Uzbekistan,"60,490",78
Syria[n 4],"60,043/Na",79
Uruguay,"59,918",80
Lebanon,"58,565",81
Macau,"55,136",—
Slovenia,"54,154",82
Lithuania,"53,641",83
Serbia,"51,523",84
"Congo, Democratic Republic of the","48,994",85
Azerbaijan,"47,171",86
Turkmenistan,"46,674",87
